#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       50                        0                        0                        0                     3122                        0                     3288                        0                     1519                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       75                        0                        0                        0                     3122                        0                     3433                        0                     1745                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      112                        0                        0                        0                     3122                        0                     3699                        0                     2000                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      168                        0                        0                        0                     3122                        0                     4117                        0                     2274                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      253                        0                        0                        0                     3122                        0                     4913                        0                     2569                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      379                        0                        0                        0                     3122                        0                     5965                        0                     2884                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      569                        0                        0                        0                     3122                        0                     7706                        0                     3190                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      854                        0                        0                        0                     3122                        0                    10623                        0                     3475                        0
