#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       50                        0                      177                        0                     4039                        0                     8434                        0                     8779                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       75                        0                      258                        0                     4039                        0                     8596                        0                    11641                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      112                        0                      383                        0                     4039                        0                     8846                        0                    15097                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      168                        0                      544                        0                     4039                        0                     9168                        0                    19508                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      253                        0                      746                        0                     4039                        0                     9572                        0                    23972                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      379                        0                     1011                        0                     4039                        0                    10102                        0                    29733                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      569                        0                     1317                        0                     4039                        0                    10714                        0                    34548                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      854                        0                     1671                        0                     4039                        0                    11422                        0                    39640                        0
