#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       50                        0                    19428                        0                    77360                        0              3.34359e+06                        0                    42038                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       75                        0                    31481                        0                    77360                        0              4.16626e+06                        0                    53132                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      112                        0                    50121                        0                    77360                        0              5.47746e+06                        0                    67269                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      168                        0                    78902                        0                    77360                        0               7.3249e+06                        0                    84817                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      253                        0                   123367                        0                    77360                        0              1.01844e+07                        0                   106895                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      379                        0                   189773                        0                    77360                        0              1.28594e+07                        0                   131541                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      569                        0                   290522                        0                    77360                        0              1.57786e+07                        0                   161392                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      854                        0                   441685                        0                    77360                        0              1.92554e+07                        0                   195430                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     1281                        0                   666353                        0                    77360                        0              2.40629e+07                        0                   227128                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     1922                        0                   996748                        0                    77360                        0              2.90016e+07                        0                   251788                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     2883                        0              1.47866e+06                        0                    77360                        0              3.47534e+07                        0                   269819                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     4324                        0              2.18006e+06                        0                    77360                        0              4.14243e+07                        0                   282902                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     6487                        0              3.21259e+06                        0                    77360                        0              4.96576e+07                        0                   292498                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     9730                        0               4.0179e+06                        0                    77360                        0              5.61077e+07                        0                   300129                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    14596                        0              4.36211e+06                        0                    77360                        0              6.11279e+07                        0                   305933                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    21894                        0              4.67929e+06                        0                    77360                        0              6.60207e+07                        0                   313017                        0
