#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       50                        0                       50                        0                    77360                        0              1.15467e+06                  6327.33                  23938.8                   2430.9
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       75                        0                       75                        0                    77360                        0              1.71698e+06                  11234.1                  29896.5                   2484.8
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      112                        0                      112                        0                    77360                        0              2.54695e+06                    14677                  37908.9                  2628.64
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      168                        0                      168                        0                    77360                        0              3.80732e+06                  19095.8                  49766.7                  2729.15
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      253                        0                      253                        0                    77360                        0              5.69261e+06                  31707.4                  62742.7                  3344.31
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      379                        0                      379                        0                    77360                        0              8.46754e+06                  49067.4                  78678.1                  2207.86
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      569                        0                      569                        0                    77360                        0              1.25812e+07                  63732.2                  96336.4                  3015.14
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      854                        0                      854                        0                    77360                        0              1.86484e+07                   144962                   113024                   3046.8
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     1281                        0                     1281                        0                    77360                        0              2.74214e+07                   159305                   128668                  2716.24
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     1922                        0                     1922                        0                    77360                        0              3.98664e+07                   272141                   142555                   3260.2
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     2883                        0                     2883                        0                    77360                        0              5.71082e+07                   355401                   157197                  2080.96
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     4324                        0                     4324                        0                    77360                        0              7.93233e+07                   592980                   169799                  2889.54
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     6487                        0                     6487                        0                    77360                        0              1.05115e+08                   769713                   178790                  2083.32
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     9730                        0                     9730                        0                    77360                        0              1.25633e+08                   871504                   187870                  2786.26
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    14596                        0                    14596                        0                    77360                        0              1.17608e+08              1.55673e+06                   194845                  2677.71
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    21894                        0                    21894                        0                    77360                        0              1.69363e+07              2.47273e+06                   196004                  2142.37
