#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       50                        0                       50                        0                    77360                        0              1.15188e+06                  6368.94                  16411.5                  1490.71
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       75                        0                       75                        0                    77360                        0              1.71555e+06                  9222.31                  19867.8                  1354.47
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      112                        0                      112                        0                    77360                        0              2.54534e+06                  13404.3                  24571.5                   1683.3
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      168                        0                      168                        0                    77360                        0               3.8035e+06                  18062.1                  30145.8                  1899.29
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      253                        0                      253                        0                    77360                        0              5.68792e+06                  31632.5                  36022.6                  1568.85
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      379                        0                      379                        0                    77360                        0              8.46414e+06                  50433.3                  44055.9                  1921.36
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      569                        0                      569                        0                    77360                        0              1.26115e+07                  79089.2                  51254.4                  1597.52
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      854                        0                      854                        0                    77360                        0               1.8622e+07                   112033                  58010.9                  1490.07
