#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       50                        0                       50                        0                     3122                        0                  43878.1                   1122.4                   717.05                  110.034
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       75                        0                       75                        0                     3122                        0                  63861.8                  1698.99                  817.475                  98.1636
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      112                        0                      112                        0                     3122                        0                  91432.9                  3115.15                    927.2                  120.626
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      168                        0                      168                        0                     3122                        0                   126479                  3672.98                  1063.38                  123.863
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      253                        0                      253                        0                     3122                        0                   167106                  6577.09                  1182.25                  86.0303
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      379                        0                      379                        0                     3122                        0                   205142                  9769.79                  1353.58                  97.8085
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      569                        0                      569                        0                     3122                        0                   196934                  12831.6                   1474.2                  72.6128
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      854                        0                      854                        0                     3122                        0                  48691.2                  20803.9                   1381.8                  76.1985
