#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       50                        0                    14761                        0               1.6328e+06                        0              2.30473e+08                        0                    90461                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       75                        0                    24309                        0               1.6328e+06                        0              2.49204e+08                        0                   110830                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      112                        0                    39449                        0               1.6328e+06                        0              2.73879e+08                        0                   136980                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      168                        0                    64012                        0               1.6328e+06                        0              2.93803e+08                        0                   170315                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      253                        0                   103853                        0               1.6328e+06                        0              3.29247e+08                        0                   211368                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      379                        0                   166648                        0               1.6328e+06                        0              3.50683e+08                        0                   260846                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      569                        0                   266949                        0               1.6328e+06                        0              3.69893e+08                        0                   323355                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      854                        0                   425784                        0               1.6328e+06                        0              3.92111e+08                        0                   399717                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     1281                        0                   676285                        0               1.6328e+06                        0              4.31146e+08                        0                   494479                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     1922                        0               1.0699e+06                        0               1.6328e+06                        0              4.54054e+08                        0                   612900                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     2883                        0              1.68552e+06                        0               1.6328e+06                        0              4.83386e+08                        0                   759168                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     4324                        0              2.64389e+06                        0               1.6328e+06                        0              5.14167e+08                        0                   937814                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     6487                        0              4.13323e+06                        0               1.6328e+06                        0              5.67625e+08                        0              1.15417e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     9730                        0              6.43689e+06                        0               1.6328e+06                        0              6.11364e+08                        0              1.41621e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    14596                        0              9.98939e+06                        0               1.6328e+06                        0              6.64702e+08                        0              1.73146e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    21894                        0              1.54459e+07                        0               1.6328e+06                        0              7.32473e+08                        0              2.10073e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    32842                        0              2.37852e+07                        0               1.6328e+06                        0              8.38408e+08                        0              2.53212e+06                        0
