#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       50                        0                        0                        0               1.6328e+06                        0                1.633e+06                        0                    90744                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                       75                        0                        0                        0               1.6328e+06                        0              1.63314e+06                        0                   111304                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      112                        0                        0                        0               1.6328e+06                        0              1.63338e+06                        0                   137449                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      168                        0                        0                        0               1.6328e+06                        0              1.63376e+06                        0                   170891                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      253                        0                        0                        0               1.6328e+06                        0              1.63447e+06                        0                   212047                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      379                        0                        0                        0               1.6328e+06                        0              1.63569e+06                        0                   261794                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      569                        0                        0                        0               1.6328e+06                        0              1.63789e+06                        0                   324090                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                      854                        0                        0                        0               1.6328e+06                        0              1.64228e+06                        0                   400970                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     1281                        0                        0                        0               1.6328e+06                        0              1.65028e+06                        0                   496386                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     1922                        0                        0                        0               1.6328e+06                        0              1.66454e+06                        0                   614854                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     2883                        0                        0                        0               1.6328e+06                        0              1.68975e+06                        0                   760645                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     4324                        0                        0                        0               1.6328e+06                        0               1.7296e+06                        0                   939082                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     6487                        0                        0                        0               1.6328e+06                        0              1.79351e+06                        0                1.156e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                     9730                        0                        0                        0               1.6328e+06                        0              1.88047e+06                        0               1.4189e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    14596                        0                        0                        0               1.6328e+06                        0              2.00631e+06                        0              1.73424e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    21894                        0                        0                        0               1.6328e+06                        0              2.18096e+06                        0              2.10607e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    32842                        0                        0                        0               1.6328e+06                        0              2.40299e+06                        0              2.53859e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    49263                        0                        0                        0               1.6328e+06                        0              2.69809e+06                        0              3.03664e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                    73894                        0                        0                        0               1.6328e+06                        0               3.0654e+06                        0              3.59701e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                   110842                        0                        0                        0               1.6328e+06                        0              3.53537e+06                        0              4.20646e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                   166263                        0                        0                        0               1.6328e+06                        0              4.09842e+06                        0              4.83593e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                   249394                        0                        0                        0               1.6328e+06                        0              4.88869e+06                        0              5.43214e+06                        0
#                    1epsi                    2epsi                       3k                       4k                     5mem                     6mem                       7n                       8n                  9nEvals                 10nEvals                    11obj                    12obj
                      0.1                        0                   374091                        0                        0                        0               1.6328e+06                        0              5.82486e+06                        0              5.90784e+06                        0
